ind1,ind2,SRI.observed,year,dyad
ind52,ind5,0.052139037,2011,ind5_ind52
ind53,ind5,0.050391937,2011,ind5_ind53
ind54,ind5,0.113513514,2011,ind5_ind54
ind55,ind5,0.027027027,2011,ind5_ind55
ind56,ind5,0.00792393,2011,ind5_ind56
ind57,ind5,0.028688525,2011,ind5_ind57
ind58,ind5,0.017902813,2011,ind5_ind58
ind59,ind5,0,2011,ind5_ind59
ind60,ind5,0.034666667,2011,ind5_ind60
ind61,ind5,0.044632087,2011,ind5_ind61
ind63,ind5,0.049261084,2011,ind5_ind63
ind64,ind5,0.010062893,2011,ind5_ind64
ind65,ind5,0.079545455,2011,ind5_ind65
ind66,ind5,0.032905297,2011,ind5_ind66
ind67,ind5,0.007528231,2011,ind5_ind67
ind68,ind5,0.021374046,2011,ind5_ind68
ind69,ind5,0.129032258,2011,ind5_ind69
ind70,ind5,0.116504854,2011,ind5_ind70
ind72,ind5,0.053191489,2011,ind5_ind72
ind73,ind5,0.112135177,2011,ind5_ind73
ind74,ind5,0.016645327,2011,ind5_ind74
ind75,ind5,0.017452007,2011,ind5_ind75
ind76,ind5,0.024340771,2011,ind5_ind76
ind77,ind5,0.039923954,2011,ind5_ind77
ind78,ind5,0.07332101,2011,ind5_ind78
ind79,ind5,0.021276596,2011,ind5_ind79
ind80,ind5,0.0224,2011,ind5_ind80
ind81,ind5,0.029473684,2011,ind5_ind81
ind82,ind5,0.029262087,2011,ind5_ind82
ind83,ind5,0,2011,ind5_ind83
ind84,ind5,0,2011,ind5_ind84
ind85,ind5,0.051347882,2011,ind5_ind85
ind86,ind5,0.02,2011,ind5_ind86
ind87,ind5,0.008291874,2011,ind5_ind87
ind88,ind5,0.051632047,2011,ind5_ind88
ind89,ind5,0.032840722,2011,ind5_ind89
ind90,ind5,0.004237288,2011,ind5_ind90
ind91,ind5,0.064102564,2011,ind5_ind91
ind92,ind5,0.020310633,2011,ind5_ind92
ind93,ind5,0.004366812,2011,ind5_ind93
ind94,ind5,0,2011,ind5_ind94
ind95,ind5,0.015306122,2011,ind5_ind95
ind96,ind5,0.046052632,2011,ind5_ind96
ind97,ind5,0.029677419,2011,ind5_ind97
ind98,ind5,0.018202503,2011,ind5_ind98
ind99,ind5,0.00867679,2011,ind5_ind99
ind100,ind5,0.003100775,2011,ind100_ind5
ind101,ind5,0,2011,ind101_ind5
ind102,ind5,0,2011,ind102_ind5
ind103,ind5,0.006430868,2011,ind103_ind5
ind1,ind19,0.062399139,2011,ind1_ind19
ind2,ind19,0.002853067,2011,ind19_ind2
ind3,ind19,0,2011,ind19_ind3
ind4,ind19,0.023006135,2011,ind19_ind4
ind6,ind19,0.042253521,2011,ind19_ind6
ind7,ind19,0.066666667,2011,ind19_ind7
ind8,ind19,0.031055901,2011,ind19_ind8
ind9,ind19,0.085253456,2011,ind19_ind9
