Year,Dyad,SRI observed,SRI expected,Home range overlap
2017,Ind10_Ind26,0.165657544,0.067799973,0.816290113
2017,Ind19_Ind26,0.083471531,0.112453311,0.741762352
2017,Ind14_Ind26,0.129860031,0.230691758,0.902155887
2017,Ind22_Ind26,0.445024876,0.058205065,0.915389584
2017,Ind12_Ind26,0.151461245,0.320023158,0.82240483
2017,Ind15_Ind26,0.150967413,0.062567245,0.84670398
2017,Ind34_Ind26,0.127151297,0.070848325,0.884681451
2017,Ind20_Ind26,0.08988764,0.049793089,0.779746157
2017,Ind24_Ind26,0.555003549,0.034740533,0.959445554
2017,Ind25_Ind26,0.55831608,0.049495021,0.951296151
2017,Ind26_Ind23,0.396299903,0.056431874,0.925062189
2017,Ind11_Ind26,0.16117851,0.103810838,0.786712546
2017,Ind26_Ind28,0.478730905,0.318171499,0.953740549
2017,Ind30_Ind26,0.518981259,0.131135637,0.955557118
2017,Ind13_Ind26,0.464015993,0.062294239,0.952471439
2017,Ind1_Ind35,0.021765057,0.194310735,0.590954438
2017,Ind35_Ind5,0.022914033,0.129939615,0.596933103
2017,Ind6_Ind35,0.020371747,0.133973535,0.590918607
2017,Ind3_Ind35,0.023267009,0.223785129,0.580720753
2017,Ind35_Ind9,0.025991025,0.339590853,0.599695904
2017,Ind35_Ind7,0.023405307,0.341830087,0.59891897
2017,Ind2_Ind35,0.018603278,0.133362556,0.585441137
2017,Ind35_Ind4,0.020124346,0.325508324,0.580812227
2017,Ind8_Ind35,0.024919982,0.186104582,0.600429098
2017,Ind35_Ind10,0.120149254,0.202293292,0.827457307
2017,Ind35_Ind19,0.074923547,0.292519661,0.761223968
2017,Ind35_Ind14,0.141065831,0.119984632,0.900584862
2017,Ind35_Ind22,0.203129702,0.149131894,0.923421389
2017,Ind35_Ind12,0.126293996,0.138354382,0.828375381
2017,Ind15_Ind35,0.128696377,0.188066846,0.87938796
2017,Ind34_Ind35,0.306132793,0.230792132,0.94586068
2017,Ind35_Ind20,0.104868914,0.158146692,0.764390906
